Fornicata,Plana,Fst
Cape May,Cape May,0.567758
Newport,Newport,0.601601
Beverly,Beverly,0.355131
Kettle Cove,Kettle Cove,0.607662
Cape May,Newport,0.598099
Cape May,Beverly,0.35875
Cape May,Kettle Cove,0.607609
Newport,Cape May,0.565859
Newport,Beverly,0.379096
Newport,Kettle Cove,0.608804
Beverly,Cape May,0.569375
Beverly,Newport,0.596257
Beverly,Kettle Cove,0.604402
Kettle Cove,Cape May,0.550662
Kettle Cove,Newport,0.598368
Kettle Cove,Beverly,0.358385
Robbinston,Cape May,0.573387
Robbinston,Newport,0.597676
Robbinston,Beverly,0.378627
Robbinston,Kettle Cove,0.605078
