Sample,Species,Site,Lane,
FB11A,Crepidula fornicata,Beverly,2,FB11A.trim.bt2.bam
FB12A,Crepidula fornicata,Beverly,2,FB13A.trim.bt2.bam
FB13A,Crepidula fornicata,Beverly,2,FB13B.trim.bt2.bam
FB13B,Crepidula fornicata,Beverly,2,FB14A.trim.bt2.bam
FB14A,Crepidula fornicata,Beverly,1,FB14B.trim.bt2.bam
FB14B,Crepidula fornicata,Beverly,2,FB21A.trim.bt2.bam
FB21B,Crepidula fornicata,Beverly,1,FB21B.trim.bt2.bam
FB22A,Crepidula fornicata,Beverly,1,FB22A.trim.bt2.bam
FB22B,Crepidula fornicata,Beverly,2,FB22B.trim.bt2.bam
FB23A,Crepidula fornicata,Beverly,1,FB23A.trim.bt2.bam
FB23C,Crepidula fornicata,Beverly,2,FB23C.trim.bt2.bam
FB32A,Crepidula fornicata,Beverly,1,FB32A.trim.bt2.bam
FB41A,Crepidula fornicata,Beverly,2,FB41A.trim.bt2.bam
FB42B,Crepidula fornicata,Beverly,1,FB42B.trim.bt2.bam
FB44A,Crepidula fornicata,Beverly,1,FB44A.trim.bt2.bam
FC12A,Crepidula fornicata,Cape May,2,FC12A.trim.bt2.bam
FC12B,Crepidula fornicata,Cape May,2,FC12B.trim.bt2.bam
FC12B_2,Crepidula fornicata,Cape May,2,FC12B_2.trim.bt2.bam
FC13A,Crepidula fornicata,Cape May,1,FC13A.trim.bt2.bam
FC14A,Crepidula fornicata,Cape May,1,FC14A.trim.bt2.bam
FC21A,Crepidula fornicata,Cape May,1,FC21A.trim.bt2.bam
FC21B,Crepidula fornicata,Cape May,2,FC21B.trim.bt2.bam
FC22A,Crepidula fornicata,Cape May,1,FC22A.trim.bt2.bam
FC22B,Crepidula fornicata,Cape May,1,FC22B.trim.bt2.bam
FC24A,Crepidula fornicata,Cape May,1,FC24A.trim.bt2.bam
FC24B,Crepidula fornicata,Cape May,2,FC24B.trim.bt2.bam
FC31A,Crepidula fornicata,Cape May,2,FC31A.trim.bt2.bam
FC32A,Crepidula fornicata,Cape May,1,FC32A.trim.bt2.bam
