bam	sample	population	species
FB11A.trim.bt2.bam	FB11A	Beverly	Crepidula fornicata
FB12A.trim.bt2.bam	FB12A	Beverly	Crepidula fornicata
FB13A.trim.bt2.bam	FB13A	Beverly	Crepidula fornicata
FB13B.trim.bt2.bam	FB13B	Beverly	Crepidula fornicata
FB14A.trim.bt2.bam	FB14A	Beverly	Crepidula fornicata
FB14B.trim.bt2.bam	FB14B	Beverly	Crepidula fornicata
FB21A.trim.bt2.bam	FB21A	Beverly	Crepidula fornicata
FB21B.trim.bt2.bam	FB21B	Beverly	Crepidula fornicata
FB22A.trim.bt2.bam	FB22A	Beverly	Crepidula fornicata
FB22B.trim.bt2.bam	FB22B	Beverly	Crepidula fornicata
FB23A.trim.bt2.bam	FB23A	Beverly	Crepidula fornicata
FB23B.trim.bt2.bam	FB23B	Beverly	Crepidula fornicata
FB23C.trim.bt2.bam	FB23C	Beverly	Crepidula fornicata
FB32A.trim.bt2.bam	FB32A	Beverly	Crepidula fornicata
FB41A.trim.bt2.bam	FB41A	Beverly	Crepidula fornicata
FB42B.trim.bt2.bam	FB42B	Beverly	Crepidula fornicata
FB44A.trim.bt2.bam	FB44A	Beverly	Crepidula fornicata
FC12A.trim.bt2.bam	FC12A	Cape May	Crepidula fornicata
FC12B.trim.bt2.bam	FC12B	Cape May	Crepidula fornicata
FC13A.trim.bt2.bam	FC13A	Cape May	Crepidula fornicata
FC14A.trim.bt2.bam	FC14A	Cape May	Crepidula fornicata
FC21A.trim.bt2.bam	FC21A	Cape May	Crepidula fornicata
FC21B.trim.bt2.bam	FC21B	Cape May	Crepidula fornicata
FC22A.trim.bt2.bam	FC22A	Cape May	Crepidula fornicata
FC22B.trim.bt2.bam	FC22B	Cape May	Crepidula fornicata
FC24A.trim.bt2.bam	FC24A	Cape May	Crepidula fornicata
FC24B.trim.bt2.bam	FC24B	Cape May	Crepidula fornicata
FC31A.trim.bt2.bam	FC31A	Cape May	Crepidula fornicata
FC32A.trim.bt2.bam	FC32A	Cape May	Crepidula fornicata
FC32B.trim.bt2.bam	FC32B	Cape May	Crepidula fornicata
FC33A.trim.bt2.bam	FC33A	Cape May	Crepidula fornicata
FC33B.trim.bt2.bam	FC33B	Cape May	Crepidula fornicata
FC33C.trim.bt2.bam	FC33C	Cape May	Crepidula fornicata
FC34A.trim.bt2.bam	FC34A	Cape May	Crepidula fornicata
FC41A.trim.bt2.bam	FC41A	Cape May	Crepidula fornicata
FC42A.trim.bt2.bam	FC42A	Cape May	Crepidula fornicata
FC43A.trim.bt2.bam	FC43A	Cape May	Crepidula fornicata
FK11B.trim.bt2.bam	FK11B	Kettle Cove	Crepidula fornicata
FK12A.trim.bt2.bam	FK12A	Kettle Cove	Crepidula fornicata
FK21A.trim.bt2.bam	FK21A	Kettle Cove	Crepidula fornicata
FK21B.trim.bt2.bam	FK21B	Kettle Cove	Crepidula fornicata
FK22A.trim.bt2.bam	FK22A	Kettle Cove	Crepidula fornicata
FK23A.trim.bt2.bam	FK23A	Kettle Cove	Crepidula fornicata
FK24B.trim.bt2.bam	FK24B	Kettle Cove	Crepidula fornicata
FK31A.trim.bt2.bam	FK31A	Kettle Cove	Crepidula fornicata
FK33A.trim.bt2.bam	FK33A	Kettle Cove	Crepidula fornicata
FK33B.trim.bt2.bam	FK33B	Kettle Cove	Crepidula fornicata
FK33C.trim.bt2.bam	FK33C	Kettle Cove	Crepidula fornicata
FK34A.trim.bt2.bam	FK34A	Kettle Cove	Crepidula fornicata
FK34B.trim.bt2.bam	FK34B	Kettle Cove	Crepidula fornicata
FK41A.trim.bt2.bam	FK41A	Kettle Cove	Crepidula fornicata
FK43A.trim.bt2.bam	FK43A	Kettle Cove	Crepidula fornicata
FK44A.trim.bt2.bam	FK44A	Kettle Cove	Crepidula fornicata
FK44B.trim.bt2.bam	FK44B	Kettle Cove	Crepidula fornicata
FK44C.trim.bt2.bam	FK44C	Kettle Cove	Crepidula fornicata
FN11A.trim.bt2.bam	FN11A	Newport	Crepidula fornicata
FN11B.trim.bt2.bam	FN11B	Newport	Crepidula fornicata
FN13A.trim.bt2.bam	FN13A	Newport	Crepidula fornicata
FN14A.trim.bt2.bam	FN14A	Newport	Crepidula fornicata
FN21A.trim.bt2.bam	FN21A	Newport	Crepidula fornicata
FN22A.trim.bt2.bam	FN22A	Newport	Crepidula fornicata
FN22B.trim.bt2.bam	FN22B	Newport	Crepidula fornicata
FN22C.trim.bt2.bam	FN22C	Newport	Crepidula fornicata
FN31A.trim.bt2.bam	FN31A	Newport	Crepidula fornicata
FN32A.trim.bt2.bam	FN32A	Newport	Crepidula fornicata
FN33A.trim.bt2.bam	FN33A	Newport	Crepidula fornicata
FN33B.trim.bt2.bam	FN33B	Newport	Crepidula fornicata
FN34A.trim.bt2.bam	FN34A	Newport	Crepidula fornicata
FN34B.trim.bt2.bam	FN34B	Newport	Crepidula fornicata
FN43A.trim.bt2.bam	FN43A	Newport	Crepidula fornicata
FN43B.trim.bt2.bam	FN43B	Newport	Crepidula fornicata
FN43C.trim.bt2.bam	FN43C	Newport	Crepidula fornicata
FN44A.trim.bt2.bam	FN44A	Newport	Crepidula fornicata
FN44B.trim.bt2.bam	FN44B	Newport	Crepidula fornicata
FN44C.trim.bt2.bam	FN44C	Newport	Crepidula fornicata
FR13A.trim.bt2.bam	FR13A	Robbinston	Crepidula fornicata
FR21A.trim.bt2.bam	FR21A	Robbinston	Crepidula fornicata
FR21B.trim.bt2.bam	FR21B	Robbinston	Crepidula fornicata
FR23B.trim.bt2.bam	FR23B	Robbinston	Crepidula fornicata
FR23C.trim.bt2.bam	FR23C	Robbinston	Crepidula fornicata
FR24A.trim.bt2.bam	FR24A	Robbinston	Crepidula fornicata
FR24B.trim.bt2.bam	FR24B	Robbinston	Crepidula fornicata
FR31A.trim.bt2.bam	FR31A	Robbinston	Crepidula fornicata
FR31B.trim.bt2.bam	FR31B	Robbinston	Crepidula fornicata
FR32A.trim.bt2.bam	FR32A	Robbinston	Crepidula fornicata
FR331A.trim.bt2.bam	FR331A	Robbinston	Crepidula fornicata
FR33A.trim.bt2.bam	FR33A	Robbinston	Crepidula fornicata
FR411A.trim.bt2.bam	FR411A	Robbinston	Crepidula fornicata
FR43A.trim.bt2.bam	FR43A	Robbinston	Crepidula fornicata
FR43B.trim.bt2.bam	FR43B	Robbinston	Crepidula fornicata
FR43C.trim.bt2.bam	FR43C	Robbinston	Crepidula fornicata
